Team,Name,QS,SV,SO,ERA,WHIP,GS,IP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid,FVAL
NYY,Gerrit Cole,18,0,253,3.17,1.03,31,193,11.84,2.25,3.25,5,5.3,7.3,13125
NYM,Max Scherzer,17,0,222,3.25,1.05,29,175,11.4,2.34,3.41,3.9,3.8,20.6,3137
MIL,Brandon Woodruff,17,0,203,3.35,1.09,30,181,10.12,2.38,3.37,4.1,4.4,21,16162
NYM,Jacob deGrom,16,0,203,2.55,0.96,23,142,12.87,2.18,2.41,5.1,4.6,22.8,10954
MIL,Josh Hader,0,35,106,2.53,0.98,0,65,14.61,3.56,2.77,1.3,1.6,31.3,14212
CLE,Shane Bieber,18,0,217,3.33,1.1,28,175,11.14,2.46,3.19,4.4,4.6,32.1,19427
CHW,Liam Hendriks,0,32,99,2.71,0.93,0,67,13.25,1.82,2.52,1.6,1.5,32.4,3548
PHI,Aaron Nola,14,0,210,3.72,1.14,30,182,10.4,2.42,3.56,4.2,3.5,41,16149
CHW,Lucas Giolito,15,0,207,3.75,1.15,30,180,10.35,2.87,3.89,3.6,3.5,45.2,15474
LAA,Raisel Iglesias,0,32,87,3.19,1.06,0,65,12.11,2.22,3.27,1,1.1,47.7,17130
CLE,Emmanuel Clase,0,30,75,2.67,1.11,0,66,10.1,2.47,2.7,1.3,1.6,56.8,21032
NYM,Edwin Diaz,0,31,96,3.27,1.12,0,66,13.12,3.22,3,1.1,0.8,63.6,14710
HOU,Ryan Pressly,0,33,75,2.9,1.09,0,63,10.68,2.39,3.03,1,1.2,65.2,7005
TOR,Kevin Gausman,15,0,198,3.73,1.15,30,179,9.96,2.41,3.78,3.2,4,70.5,14107
CHW,Lance Lynn,15,0,196,3.72,1.18,30,182,9.69,2.78,3.98,3.4,3.6,71,2520
SDP,Joe Musgrove,14,0,195,3.63,1.17,31,178,9.82,2.63,3.72,3.3,3.2,71.5,12970
TOR,Jose Berrios,16,0,195,3.9,1.2,31,191,9.21,2.49,3.88,3.3,3.8,78.7,14168
STL,Jack Flaherty,14,0,172,3.7,1.16,29,160,9.65,3.03,4.02,2.4,3.1,81,17479
NYY,Aroldis Chapman,0,31,96,3.08,1.21,0,61,14.15,4.86,3.4,0.9,1.1,81.8,10233
CHW,Dylan Cease,12,0,205,3.81,1.25,31,167,11.03,3.62,3.91,3.3,3.2,84.1,18525
,Kenley Jansen,0,27,76,3.52,1.18,5,63,10.81,3.56,3.76,0.9,0.8,91.6,3096
TOR,Jordan Romano,0,28,83,3.14,1.16,0,64,11.55,3.42,3.37,0.8,1.2,92.1,16122
CIN,Luis Castillo,16,0,192,3.87,1.29,31,187,9.27,3.41,3.9,3.4,3.7,95.3,15689
ATL,Charlie Morton,14,0,175,3.6,1.17,28,159,9.9,2.87,3.68,3,3.4,95.6,4676
ATL,Will Smith,0,33,78,3.74,1.17,0,65,10.8,3.15,3.92,0.5,0.7,96.6,8048
SDP,Yu Darvish,14,0,193,3.97,1.15,30,172,10.11,2.57,3.92,2.8,2.4,103.3,13074
STL,Giovanny Gallegos,0,26,82,3.29,1.04,0,69,10.6,2.44,3.31,1,1,112.4,14986
SDP,Blake Snell,10,0,176,3.8,1.26,28,146,10.86,3.97,3.86,2.4,2.3,114.7,13543
CIN,Tyler Mahle,12,0,178,4.31,1.28,30,166,9.69,3.21,4.29,2.6,2.4,131.7,16358
ARI,Mark Melancon,0,26,53,3.76,1.35,0,63,7.62,3.02,3.78,0.4,0.6,132.5,4264
TBR,Shane Baz,7,0,139,3.64,1.14,24,125,10.02,2.69,3.74,2.3,2.4,132.7,22264
ARI,Zac Gallen,13,0,178,4.05,1.26,29,166,9.63,3.33,4.04,2.4,2.6,136.2,19291
BOS,Nathan Eovaldi,13,0,173,3.9,1.2,29,170,9.2,2.05,3.59,3.6,3.5,139.4,9132
MIA,Pablo Lopez,12,0,141,3.65,1.16,26,144,8.84,2.44,3.6,2.7,2.6,140.6,17085
OAK,Sean Manaea,14,0,166,3.75,1.17,30,169,8.82,2.06,3.9,2.8,3,143.2,15873
CHW,Craig Kimbrel,0,11,90,3.42,1.15,0,59,13.65,3.99,3.57,0.7,0.8,148.5,6655
HOU,Luis Garcia,10,0,167,3.93,1.23,28,159,9.49,3.17,4.12,2.4,2.7,149.5,23735
HOU,Framber Valdez,15,0,162,3.7,1.31,28,174,8.37,3.56,3.78,3,3.4,151.6,17295
ATL,Ian Anderson,12,0,154,4,1.31,29,156,8.88,3.86,4.17,2.2,2.5,152.2,19951
DET,Eduardo Rodriguez,13,0,189,3.79,1.25,32,180,9.42,2.95,3.75,3.5,3.5,155.3,13164
SFG,Camilo Doval,0,14,76,3.62,1.3,0,61,11.22,4.48,3.52,0.5,0.5,158.1,21992
LAD,Blake Treinen,0,24,74,3.3,1.19,0,67,9.95,3.28,3.55,0.8,0.8,160.9,12572
PHI,Corey Knebel,0,24,71,3.5,1.18,0,56,11.31,3.49,3.76,0.5,0.6,161,15010
LAD,Clayton Kershaw,12,0,133,3.58,1.13,23,127,9.43,1.9,3.62,2.6,2.4,161.6,2036
KCR,Scott Barlow,0,20,80,3.55,1.27,0,68,10.63,3.55,3.52,0.8,0.9,162.4,14993
CHW,Michael Kopech,7,0,157,3.79,1.22,22,126,11.24,3.48,3.79,2.4,2.3,163.6,17282
SEA,Logan Gilbert,9,0,148,4.18,1.19,27,143,9.36,2.44,4.04,2.1,1.8,163.9,22250
NYY,Luis Severino,9,0,129,3.9,1.19,21,123,9.41,2.51,4.04,1.8,2.1,175.2,15890
MIN,Sonny Gray,12,0,170,4.13,1.28,29,160,9.56,3.55,4.08,2.6,2.6,178.2,12768
PHI,Ranger Suarez,11,0,133,3.8,1.28,26,147,8.13,3.04,3.96,2.4,2.7,179.2,17277
MIN,Taylor Rogers,0,21,75,3.13,1.13,0,59,11.44,2.22,2.79,1.1,1.1,183.2,13449
CHC,Marcus Stroman,14,0,142,3.96,1.28,30,174,7.35,2.62,4.01,2.6,2.9,186.1,13431
SDP,Mike Clevinger,9,0,132,3.66,1.19,22,122,9.81,3.07,3.85,2.1,2.2,186.7,12808
PIT,David Bednar,0,17,78,3.31,1.16,0,64,10.85,3.1,3.29,0.8,0.8,193,19569
LAD,Trevor Bauer,10,0,116,3.59,1.13,15,97,10.73,2.97,4,1.6,1.9,197.8,12703
STL,Adam Wainwright,14,0,135,4.02,1.25,27,169,7.2,2.55,4.28,2.1,2.7,198.2,2233
DET,Gregory Soto,0,18,78,3.77,1.37,0,67,10.55,4.83,3.88,0.5,0.7,199,19677
HOU,Lance McCullers Jr.,12,0,148,3.62,1.26,24,138,9.66,3.76,3.71,2.5,2.9,201.2,14120
DET,Tarik Skubal,11,0,175,4.1,1.24,30,159,9.93,2.98,4.32,2,2.5,203.6,22267
LAA,Patrick Sandoval,9,0,147,3.92,1.28,26,142,9.31,3.49,4.11,2.3,2.6,205.9,19447
TOR,Hyun Jin Ryu,13,0,140,4,1.23,28,161,7.79,2.13,4.01,2.4,3,207.9,14444
BOS,Tanner Houck,6,0,128,4.06,1.28,19,117,9.85,3.32,3.65,2.1,2,209.6,19879
HOU,Jose Urquidy,11,0,122,4.25,1.17,25,139,7.89,2.07,4.4,1.9,1.8,210.4,18413
LAA,Noah Syndergaard,9,0,122,4.47,1.28,25,137,8.01,2.34,4.56,1.9,1.6,211.8,11762
SFG,Anthony DeSclafani,13,0,141,4.17,1.26,30,162,7.86,2.66,4.27,1.7,1.9,212.5,13050
NYY,Jordan Montgomery,11,0,160,4.07,1.26,30,160,9.01,2.75,4.06,2.7,2.5,213.1,16511
BAL,John Means,12,0,148,4.15,1.16,29,165,8.07,1.94,4.51,2.6,2.7,220,16269
TEX,Joe Barlow,0,17,61,4,1.38,0,56,9.69,4.77,4.36,0.2,0.4,223,22296
SFG,Alex Wood,11,0,144,3.9,1.23,27,146,8.85,2.64,4.04,1.8,2.2,223.2,13781
CIN,Lucas Sims,0,20,86,3.74,1.19,0,61,12.54,3.79,3.83,0.7,0.6,224.1,13470
MIN,Joe Ryan,8,0,141,4.17,1.13,25,134,9.49,2.45,3.99,2.2,2.1,225.6,21390
MIA,Dylan Floro,0,18,57,3.68,1.3,0,64,8.05,3.01,3.79,0.4,0.5,227.3,13394
CLE,Triston McKenzie,10,0,150,4.48,1.24,26,137,9.88,3.71,4.56,1.6,1.5,232.8,18000
BOS,Garrett Whitlock,0,18,83,3.42,1.2,0,79,9.47,2.48,3.24,1.1,1.2,234.8,20191
OAK,Lou Trivino,0,18,63,3.99,1.35,0,67,8.54,4.01,4.12,0.2,0.4,241.2,15043
ATL,Huascar Ynoa,9,0,132,4.11,1.27,25,129,9.23,3.09,4.07,1.8,1.9,242.9,20468
TEX,Jon Gray,12,0,164,4.15,1.28,30,167,8.82,3.08,4.15,2.3,2.4,243,14916
SFG,Alex Cobb,9,0,123,3.95,1.31,25,137,8.08,3.03,3.87,1.9,2,249,6562
SFG,Jake McGee,0,17,58,3.64,1.16,0,58,9.01,2.22,3.86,0.4,0.4,251.6,7550
STL,Steven Matz,10,0,138,4.19,1.29,28,152,8.13,2.82,4.33,1.9,2.1,253.3,13361
BOS,Matt Barnes,0,13,86,3.78,1.27,0,61,12.62,4.09,3.54,0.8,0.7,261,12863
MIN,Bailey Ober,8,0,139,4.15,1.19,26,138,9.08,2.14,4.11,2.2,2.1,264.4,21224
TBR,Andrew Kittredge,0,11,69,3.2,1.15,0,64,9.59,2.26,3.32,0.7,0.9,266,12828
COL,German Marquez,15,0,171,4.53,1.32,30,183,8.43,2.87,4.17,2.9,2.8,266.5,15038
CLE,Aaron Civale,12,0,135,4.43,1.27,29,164,7.46,2.35,4.59,1.5,1.9,266.5,19479
CLE,Cal Quantrill,11,0,123,4.2,1.31,26,149,7.43,2.77,4.4,1.7,2.1,268.9,19312
MIL,Aaron Ashby,3,0,98,3.73,1.28,9,83,10.54,4,3.46,1.4,1.2,269.9,23550
TBR,Drew Rasmussen,7,0,119,3.77,1.24,21,118,9.11,3.43,3.88,1.5,1.9,278.9,25385
CHC,Kyle Hendricks,15,0,129,4.55,1.29,30,180,6.47,2,4.61,1.7,1.6,280.1,12049
DET,Casey Mize,11,0,125,4.33,1.27,30,157,7.13,2.69,4.51,1.6,2.1,281.6,20492
WSN,Stephen Strasburg,9,0,116,4.16,1.23,21,117,8.93,2.99,4.53,1.3,1.6,283.6,10131
TBR,Luis Patiño,6,0,127,4.11,1.27,18,120,9.52,3.46,4.17,1.4,1.2,285.3,22815
WSN,Josiah Gray,10,0,137,4.74,1.31,26,139,8.89,3.26,4.69,1.6,1.1,286.5,24580
NYM,Carlos Carrasco,9,0,133,4.19,1.26,24,131,9.15,2.86,4.41,1.3,1.3,287.4,6632
HOU,Cristian Javier,4,0,124,4.01,1.25,13,103,10.86,4.26,4.38,1,1.3,290.3,17606
SEA,Ken Giles,0,11,57,3.8,1.22,0,48,10.86,2.95,3.77,0.4,0.3,290.4,12910
MIA,Jesús Luzardo,4,0,99,4.54,1.37,18,103,8.71,3.57,4.46,0.8,0.6,291.9,19959
MIL,Devin Williams,0,3,89,2.87,1.17,0,62,12.88,4.18,3.02,1.1,1.2,294.2,15816
SEA,Paul Sewald,0,11,86,3.63,1.16,0,65,11.97,3.2,3.88,0.4,0.7,294.8,13892
NYY,Jameson Taillon,10,0,133,4.4,1.24,27,141,8.47,2.59,4.37,2.1,1.7,296.3,11674
LAD,Andrew Heaney,10,0,143,4.37,1.24,25,134,9.63,2.64,4.47,1.5,1.2,297.1,15423
LAD,Tony Gonsolin,6,0,120,4.23,1.33,23,116,9.31,3.93,4.53,1.1,1.3,298.8,19388
MIL,Eric Lauer,9,0,116,4.31,1.32,24,124,8.45,3.29,4.5,1.3,1.5,305.8,19316
CHC,Rowan Wick,0,16,63,4.04,1.33,0,57,9.89,4.09,3.84,0.4,0.3,307,14646
STL,Alex Reyes,0,7,86,3.79,1.38,0,71,10.9,5.39,4.15,0.4,0.6,308.3,15015
NYM,Tylor Megill,9,0,128,4.26,1.26,23,123,9.38,2.98,4.18,1.5,1.1,320.2,21318
SEA,Marco Gonzales,13,0,135,4.34,1.28,29,172,7.07,2.4,4.69,1.7,1.8,322.3,15467
,Zack Greinke,12,0,118,4.38,1.24,27,153,6.91,1.99,4.48,1.6,1.7,322.5,1943
MIA,Elieser Hernandez,6,0,123,4.37,1.22,25,127,8.76,2.55,4.67,1,1.1,330.7,16933
TBR,Corey Kluber,9,0,126,4.07,1.29,24,129,8.79,3.13,4.51,1.1,1.8,332.7,2429
TOR,Yusei Kikuchi,10,0,149,4.35,1.32,27,152,8.78,3.29,4.27,1.6,1.5,333.8,20633
DET,Michael Fulmer,0,13,61,3.84,1.27,1,61,8.9,2.68,3.87,0.7,0.6,336,13218
NYY,Nestor Cortes,7,0,123,4.36,1.26,19,119,9.31,2.98,4.6,1.3,1.2,343.9,17874
,Ian Kennedy,0,12,61,4.21,1.27,4,58,9.58,2.88,4.91,0.2,0.4,346.3,6986
WSN,Kyle Finnegan,0,17,66,4.17,1.4,0,65,9.16,3.99,4.32,0.2,0.2,349.9,15009
CLE,Zach Plesac,11,0,125,4.48,1.25,28,161,6.99,2.24,4.63,1.4,1.8,350.9,19979
NYM,Taijuan Walker,10,0,136,4.42,1.3,27,151,8.1,3.18,4.96,0.7,0.9,355.3,11836
CHC,Adbert Alzolay,8,0,122,4.55,1.29,25,126,8.71,3.16,4.55,1.2,1.2,357.5,17859
BOS,Nick Pivetta,9,0,159,4.71,1.36,29,151,9.47,3.59,4.57,1.6,1.6,363.7,15454
WSN,Tanner Rainey,0,9,76,4.48,1.39,0,57,11.95,5.32,4.39,0.2,0,378.4,17610
NYY,Chad Green,0,3,81,3.57,1.07,0,66,11.03,2.25,3.63,0.9,0.8,380.8,15552
OAK,James Kaprielian,9,0,119,4.38,1.29,23,121,8.87,3.17,4.51,1.1,1.2,383.7,18331
PHI,Kyle Gibson,14,0,152,4.41,1.37,30,177,7.73,3.37,4.57,1.9,2,387.2,10123
NYY,Jonathan Loaisiga,0,6,70,3.2,1.2,0,67,9.44,2.73,3.45,1,1.1,390.6,19753
SEA,Chris Flexen,13,0,137,4.25,1.31,31,174,7.07,2.42,4.43,1.8,1.9,391.5,13896
SEA,Drew Steckenrider,0,10,60,3.85,1.25,0,64,8.48,2.89,4.29,0.3,0.4,393.3,18806
SEA,Diego Castillo,0,6,69,3.41,1.17,0,60,10.32,3.13,3.63,0.6,0.7,393.9,17496
SDP,Dinelson Lamet,2,2,75,3.6,1.21,4,61,11.06,3.51,3.64,0.9,0.7,396.1,17186
MIA,Anthony Bender,0,8,70,3.4,1.2,0,64,9.79,3.08,3.54,0.6,0.7,401.4,19742
SDP,Robert Suarez,0,3,50,3.9,1.23,0,51,8.83,3.1,3.89,0.4,0.2,408.9,sa869798
SDP,Chris Paddack,6,0,98,4.21,1.19,17,103,8.55,1.95,3.97,1.4,1,410.9,20099
BAL,Tyler Wells,0,10,70,4.22,1.19,0,62,10.16,2.69,3.99,0.7,0.3,410.9,20000
SDP,Pierce Johnson,0,15,73,3.57,1.26,0,60,11.02,3.91,3.7,0.6,0.5,415.8,13435
KCR,Carlos Hernandez,8,0,111,4.38,1.36,23,125,8.02,3.76,4.56,1.1,1.7,417.6,22713
NYY,Domingo German,7,0,110,4.36,1.23,16,106,9.31,2.7,4.34,1.2,1,424.7,17149
WSN,Patrick Corbin,13,0,154,4.6,1.36,29,174,7.96,2.96,4.59,1.6,1.5,427.1,9323
MIA,Sixto Sanchez,5,0,62,3.88,1.24,13,71,7.85,2.52,3.77,1.2,1.1,427.3,19680
MIN,Jorge Alcala,0,9,68,3.97,1.22,0,64,9.63,2.83,3.78,0.5,0.4,428.8,19459
CIN,Hunter Greene,5,0,94,4.53,1.33,17,92,9.2,3.54,4.61,1.1,1.1,430,sa3005315
LAA,Reid Detmers,7,0,110,4.49,1.32,20,104,9.52,3.35,4.58,1.2,1.2,430.8,27468
CLE,James Karinchak,0,6,86,3.55,1.23,0,62,12.53,4.59,3.55,0.7,0.7,437.7,20151
TOR,Nate Pearson,4,0,81,4.28,1.32,13,76,9.61,4.12,4.53,0.7,1.1,445,20160
BOS,Rich Hill,6,0,102,4.63,1.34,21,115,8.04,3.24,4.88,0.7,1.4,454.1,4806
MIL,Adrian Houser,8,0,103,4.35,1.41,26,136,6.79,3.72,4.5,1.3,1.6,455.1,12718
TEX,Dane Dunning,8,0,123,4.24,1.34,26,134,8.28,3.23,4.08,2,1.8,455.8,19409
STL,Dakota Hudson,7,0,83,4.18,1.4,21,113,6.62,3.77,4.45,1.1,1.5,460.7,19206
BAL,Cole Sulser,0,10,73,3.87,1.29,0,66,9.92,3.62,3.94,0.7,0.6,462.3,15256
HOU,Hector Neris,0,4,84,3.84,1.22,0,69,11.04,3.52,4.02,0.4,0.5,463.5,11804
,Michael Pineda,9,0,112,4.37,1.24,25,136,7.4,2.01,4.45,1.5,1.7,469.4,5372
KCR,Brady Singer,11,0,134,4.27,1.36,28,145,8.34,3.26,4.02,2.1,2.1,470.2,25377
CHC,Wade Miley,12,0,116,4.33,1.4,28,159,6.57,3.21,4.75,1.2,1.9,474.5,8779
PIT,Roansy Contreras,4,0,60,4.1,1.28,13,65,8.36,3.05,4.18,0.8,0.9,474.7,22810
KCR,Josh Staumont,0,6,73,3.74,1.33,0,65,10.16,4.41,4.05,0.4,0.7,474.9,18335
MIN,Dylan Bundy,10,0,136,4.81,1.33,27,148,8.29,3.1,4.7,1.3,1.1,476.8,12917
,Alex Colome,0,4,52,3.99,1.34,4,59,7.83,3.23,4.38,0.2,0.5,477.6,6661
BAL,Grayson Rodriguez,5,0,73,4.22,1.26,13,69,9.45,3.23,4.3,1.1,1.1,478,sa3008130
PHI,Zach Eflin,11,0,107,4.35,1.27,22,121,7.95,2.11,4.28,1.7,1.4,481.1,13774
COL,Carlos Estevez,0,18,62,4.93,1.43,0,63,8.94,3.15,4.4,0.2,0.1,483.5,14542
ARI,Madison Bumgarner,11,0,134,5.05,1.29,29,165,7.32,2.51,4.98,1.1,0.7,484.8,5524
ARI,Luke Weaver,8,0,118,4.76,1.32,24,126,8.42,2.9,4.5,1.1,0.9,488,16918
NYY,Luis Gil,4,0,79,4.46,1.41,10,69,10.37,4.85,4.65,0.7,0.6,495.9,21052
STL,Miles Mikolas,9,0,91,4.23,1.26,24,130,6.31,2.03,4.39,1.6,1.8,497,9803
MIA,Edward Cabrera,4,0,82,4.19,1.34,12,76,9.73,4.16,4.33,0.5,0.5,497,21690
CIN,Art Warren,0,3,63,3.49,1.25,0,48,11.85,3.71,3.37,0.7,0.7,503,18251